timestamp,steps,distance millimeters,altitude gain millimeters,data source
2024-12-07T08:33:41Z,0,1280,0,Charge 6
2024-12-07T08:33:42Z,1,1190,0,Charge 6
2024-12-07T08:33:43Z,0,1050,0,Charge 6
2024-12-07T08:33:44Z,0,0,0,Charge 6
2024-12-07T08:33:45Z,2,0,0,Charge 6
2024-12-07T08:33:46Z,2,0,0,Charge 6
2024-12-07T08:33:47Z,0,0,0,Charge 6
2024-12-07T08:33:48Z,0,0,0,Charge 6
2024-12-07T08:33:49Z,0,0,0,Charge 6
2024-12-07T08:33:50Z,0,0,0,Charge 6
2024-12-07T08:33:51Z,0,0,0,Charge 6
2024-12-07T08:33:52Z,0,0,0,Charge 6
2024-12-07T08:33:53Z,0,0,0,Charge 6
2024-12-07T08:33:54Z,0,0,0,Charge 6
2024-12-07T08:33:55Z,0,0,0,Charge 6
2024-12-07T08:33:56Z,0,0,0,Charge 6
2024-12-07T08:33:57Z,0,0,0,Charge 6
2024-12-07T08:33:58Z,0,0,0,Charge 6
2024-12-07T08:33:59Z,0,0,0,Charge 6
2024-12-07T08:34:00Z,0,0,0,Charge 6
2024-12-07T08:34:01Z,0,0,0,Charge 6
2024-12-07T08:34:02Z,0,0,0,Charge 6
2024-12-07T08:34:03Z,0,0,0,Charge 6
2024-12-07T08:34:04Z,0,0,0,Charge 6
2024-12-07T08:34:05Z,0,0,0,Charge 6
2024-12-07T08:34:06Z,0,0,0,Charge 6
2024-12-07T08:34:07Z,0,0,0,Charge 6
2024-12-07T08:34:08Z,0,0,0,Charge 6
2024-12-07T08:34:09Z,0,0,0,Charge 6
2024-12-07T08:34:10Z,0,0,0,Charge 6
2024-12-07T08:34:11Z,0,0,0,Charge 6
2024-12-07T08:34:12Z,0,0,0,Charge 6
2024-12-07T08:34:13Z,0,0,0,Charge 6
2024-12-07T08:34:14Z,0,0,0,Charge 6
2024-12-07T08:34:15Z,0,0,0,Charge 6
2024-12-07T08:34:16Z,0,0,0,Charge 6
2024-12-07T08:34:17Z,1,0,0,Charge 6
2024-12-07T08:34:18Z,2,0,0,Charge 6
2024-12-07T08:34:19Z,1,140,0,Charge 6
2024-12-07T08:34:20Z,2,330,0,Charge 6
2024-12-07T08:34:21Z,2,530,0,Charge 6
2024-12-07T08:34:22Z,2,760,0,Charge 6
2024-12-07T08:34:23Z,2,1010,0,Charge 6
2024-12-07T08:34:24Z,2,1130,0,Charge 6
2024-12-07T08:34:25Z,1,1170,0,Charge 6
2024-12-07T08:34:26Z,2,1200,0,Charge 6
2024-12-07T08:34:27Z,2,1240,0,Charge 6
2024-12-07T08:34:28Z,0,1180,0,Charge 6
2024-12-07T08:34:29Z,0,1220,0,Charge 6
2024-12-07T08:34:30Z,1,1070,0,Charge 6
2024-12-07T08:34:31Z,1,0,0,Charge 6
2024-12-07T08:34:32Z,2,0,0,Charge 6
2024-12-07T08:34:33Z,1,0,0,Charge 6
2024-12-07T08:34:34Z,1,0,0,Charge 6
2024-12-07T08:34:35Z,2,210,0,Charge 6
2024-12-07T08:34:36Z,1,330,0,Charge 6
2024-12-07T08:34:37Z,1,470,0,Charge 6
2024-12-07T08:34:38Z,2,640,0,Charge 6
2024-12-07T08:34:39Z,1,810,0,Charge 6
2024-12-07T08:34:40Z,2,860,0,Charge 6
2024-12-07T08:34:41Z,1,900,0,Charge 6
2024-12-07T08:34:42Z,2,970,0,Charge 6
2024-12-07T08:34:43Z,1,980,0,Charge 6
2024-12-07T08:34:44Z,2,1020,0,Charge 6
2024-12-07T08:34:45Z,2,1120,0,Charge 6
2024-12-07T08:34:46Z,1,1140,0,Charge 6
2024-12-07T08:34:47Z,2,1160,0,Charge 6
2024-12-07T08:34:48Z,2,1210,0,Charge 6
2024-12-07T08:34:49Z,1,1220,0,Charge 6
2024-12-07T08:34:50Z,1,1210,0,Charge 6
2024-12-07T08:34:51Z,1,1210,0,Charge 6
2024-12-07T08:34:52Z,1,1210,0,Charge 6
2024-12-07T08:34:53Z,2,1190,0,Charge 6
2024-12-07T08:34:54Z,2,1200,0,Charge 6
2024-12-07T08:34:55Z,1,1190,0,Charge 6
2024-12-07T08:34:56Z,2,1190,0,Charge 6
2024-12-07T08:34:57Z,2,1240,0,Charge 6
2024-12-07T08:34:58Z,2,1280,0,Charge 6
2024-12-07T08:34:59Z,2,1290,0,Charge 6
2024-12-07T08:35:00Z,1,1320,0,Charge 6
2024-12-07T08:35:01Z,2,1340,0,Charge 6
2024-12-07T08:35:02Z,2,1340,0,Charge 6
2024-12-07T08:35:03Z,1,1350,0,Charge 6
2024-12-07T08:35:04Z,0,1230,0,Charge 6
2024-12-07T08:35:05Z,0,1120,0,Charge 6
2024-12-07T08:35:06Z,0,950,0,Charge 6
2024-12-07T08:35:07Z,0,0,0,Charge 6
2024-12-07T08:35:08Z,0,0,0,Charge 6
2024-12-07T08:35:09Z,0,0,0,Charge 6
2024-12-07T08:35:10Z,0,0,0,Charge 6
2024-12-07T08:35:11Z,1,0,0,Charge 6
2024-12-07T08:35:12Z,1,0,0,Charge 6
2024-12-07T08:35:13Z,1,0,0,Charge 6
2024-12-07T08:35:14Z,2,0,0,Charge 6
2024-12-07T08:35:15Z,1,150,0,Charge 6
2024-12-07T08:35:16Z,0,260,0,Charge 6
2024-12-07T08:35:17Z,0,330,0,Charge 6
2024-12-07T08:35:18Z,1,400,0,Charge 6
2024-12-07T08:35:19Z,2,0,0,Charge 6
2024-12-07T08:35:20Z,1,0,0,Charge 6
2024-12-07T08:35:21Z,1,0,0,Charge 6
2024-12-07T08:35:22Z,2,670,0,Charge 6
2024-12-07T08:35:23Z,1,360,0,Charge 6
2024-12-07T08:35:24Z,1,480,0,Charge 6
2024-12-07T08:35:25Z,2,580,0,Charge 6
2024-12-07T08:35:26Z,2,580,0,Charge 6
2024-12-07T08:35:27Z,0,650,0,Charge 6
2024-12-07T08:35:28Z,0,0,0,Charge 6
2024-12-07T08:35:29Z,0,0,0,Charge 6
2024-12-07T08:35:30Z,0,0,0,Charge 6
2024-12-07T08:35:31Z,0,0,0,Charge 6
2024-12-07T08:35:32Z,0,0,0,Charge 6
2024-12-07T08:35:33Z,0,0,0,Charge 6
2024-12-07T08:35:34Z,0,0,0,Charge 6
2024-12-07T08:35:35Z,0,0,0,Charge 6
2024-12-07T08:35:36Z,0,0,0,Charge 6
2024-12-07T08:35:37Z,0,0,0,Charge 6
2024-12-07T08:35:38Z,0,0,0,Charge 6
2024-12-07T08:35:39Z,0,0,0,Charge 6
2024-12-07T08:35:40Z,0,0,0,Charge 6
2024-12-07T08:35:41Z,0,0,0,Charge 6
2024-12-07T08:35:42Z,0,0,0,Charge 6
2024-12-07T08:35:43Z,0,0,0,Charge 6
2024-12-07T08:35:44Z,0,0,0,Charge 6
2024-12-07T08:35:45Z,0,0,0,Charge 6
2024-12-07T08:35:46Z,0,0,0,Charge 6
2024-12-07T08:35:47Z,0,0,0,Charge 6
2024-12-07T08:35:48Z,0,0,0,Charge 6
2024-12-07T08:35:49Z,0,0,0,Charge 6
2024-12-07T08:35:50Z,0,0,0,Charge 6
2024-12-07T08:35:51Z,0,0,0,Charge 6
2024-12-07T08:35:52Z,0,0,0,Charge 6
2024-12-07T08:35:53Z,0,0,0,Charge 6
2024-12-07T08:35:54Z,0,0,0,Charge 6
2024-12-07T08:35:55Z,0,0,0,Charge 6
2024-12-07T08:35:56Z,0,0,0,Charge 6
2024-12-07T08:35:57Z,0,0,0,Charge 6
2024-12-07T08:35:58Z,0,0,0,Charge 6
2024-12-07T08:35:59Z,0,0,0,Charge 6
2024-12-07T08:36:00Z,0,0,0,Charge 6
2024-12-07T08:36:01Z,0,0,0,Charge 6
2024-12-07T08:36:02Z,0,0,0,Charge 6
2024-12-07T08:36:03Z,0,0,0,Charge 6
2024-12-07T08:36:04Z,0,0,0,Charge 6
2024-12-07T08:36:05Z,0,0,0,Charge 6
2024-12-07T08:36:06Z,0,0,0,Charge 6
2024-12-07T08:36:07Z,0,0,0,Charge 6
2024-12-07T08:36:08Z,0,0,0,Charge 6
2024-12-07T08:36:09Z,0,0,0,Charge 6
2024-12-07T08:36:10Z,0,0,0,Charge 6
2024-12-07T08:36:11Z,0,0,0,Charge 6
2024-12-07T08:36:12Z,0,0,0,Charge 6
2024-12-07T08:36:13Z,0,0,0,Charge 6
2024-12-07T08:36:14Z,0,0,0,Charge 6
2024-12-07T08:36:15Z,0,0,0,Charge 6
2024-12-07T08:36:16Z,0,0,0,Charge 6
2024-12-07T08:36:17Z,0,0,0,Charge 6
2024-12-07T08:36:18Z,0,0,0,Charge 6
2024-12-07T08:36:19Z,0,0,0,Charge 6
2024-12-07T08:36:20Z,0,0,0,Charge 6
2024-12-07T08:36:21Z,0,0,0,Charge 6
2024-12-07T08:36:22Z,0,0,0,Charge 6
2024-12-07T08:36:23Z,0,0,0,Charge 6
2024-12-07T08:36:24Z,0,0,0,Charge 6
2024-12-07T08:36:25Z,0,0,0,Charge 6
2024-12-07T08:36:26Z,0,0,0,Charge 6
2024-12-07T08:36:27Z,0,0,0,Charge 6
2024-12-07T08:36:28Z,0,0,0,Charge 6
2024-12-07T08:36:29Z,0,0,0,Charge 6
2024-12-07T08:36:30Z,0,0,0,Charge 6
2024-12-07T08:36:31Z,0,0,0,Charge 6
2024-12-07T08:36:32Z,0,0,0,Charge 6
2024-12-07T08:36:33Z,0,0,0,Charge 6
2024-12-07T08:36:34Z,0,0,0,Charge 6
2024-12-07T08:36:35Z,0,0,0,Charge 6
2024-12-07T08:36:36Z,0,0,0,Charge 6
2024-12-07T08:36:37Z,0,0,0,Charge 6
2024-12-07T08:36:38Z,0,0,0,Charge 6
2024-12-07T08:36:39Z,0,0,0,Charge 6
2024-12-07T08:36:40Z,0,0,0,Charge 6
2024-12-07T08:36:41Z,0,0,0,Charge 6
2024-12-07T08:36:42Z,0,0,0,Charge 6
2024-12-07T08:36:43Z,0,0,0,Charge 6
2024-12-07T08:36:44Z,0,0,0,Charge 6
2024-12-07T08:36:45Z,0,0,0,Charge 6
2024-12-07T08:36:46Z,0,0,0,Charge 6
2024-12-07T08:36:47Z,0,0,0,Charge 6
2024-12-07T08:36:48Z,0,0,0,Charge 6
2024-12-07T08:36:49Z,0,0,0,Charge 6
2024-12-07T08:36:50Z,0,0,0,Charge 6
2024-12-07T08:36:51Z,0,0,0,Charge 6
2024-12-07T08:36:52Z,0,0,0,Charge 6
2024-12-07T08:36:53Z,0,0,0,Charge 6
2024-12-07T08:36:54Z,0,0,0,Charge 6
2024-12-07T08:36:55Z,0,0,0,Charge 6
2024-12-07T08:36:56Z,0,0,0,Charge 6
2024-12-07T08:36:57Z,0,0,0,Charge 6
2024-12-07T08:36:58Z,0,0,0,Charge 6
2024-12-07T08:36:59Z,0,0,0,Charge 6
2024-12-07T08:37:00Z,0,0,0,Charge 6
2024-12-07T08:37:01Z,0,0,0,Charge 6
2024-12-07T08:37:02Z,0,0,0,Charge 6
2024-12-07T08:37:03Z,0,0,0,Charge 6
2024-12-07T08:37:04Z,0,0,0,Charge 6
2024-12-07T08:37:05Z,2,0,0,Charge 6
2024-12-07T08:37:06Z,2,0,0,Charge 6
2024-12-07T08:37:07Z,0,0,0,Charge 6
2024-12-07T08:37:08Z,0,0,0,Charge 6
2024-12-07T08:37:09Z,0,0,0,Charge 6
2024-12-07T08:37:10Z,0,0,0,Charge 6
2024-12-07T08:37:11Z,0,0,0,Charge 6
2024-12-07T08:37:12Z,0,0,0,Charge 6
2024-12-07T08:37:13Z,0,0,0,Charge 6
2024-12-07T08:37:14Z,0,0,0,Charge 6
2024-12-07T08:37:15Z,0,0,0,Charge 6
2024-12-07T08:37:16Z,0,0,0,Charge 6
2024-12-07T08:37:17Z,0,0,0,Charge 6
2024-12-07T08:37:18Z,0,0,0,Charge 6
2024-12-07T08:37:19Z,0,0,0,Charge 6
2024-12-07T08:37:20Z,0,0,0,Charge 6
2024-12-07T08:37:21Z,0,0,0,Charge 6
2024-12-07T08:37:22Z,0,0,0,Charge 6
2024-12-07T08:37:23Z,0,0,0,Charge 6
2024-12-07T08:37:24Z,0,0,0,Charge 6
2024-12-07T08:37:25Z,0,0,0,Charge 6
2024-12-07T08:37:26Z,0,0,0,Charge 6
2024-12-07T08:37:27Z,0,0,0,Charge 6
2024-12-07T08:37:28Z,0,0,0,Charge 6
2024-12-07T08:37:29Z,0,0,0,Charge 6
2024-12-07T08:37:30Z,0,0,0,Charge 6
2024-12-07T08:37:31Z,0,0,0,Charge 6
2024-12-07T08:37:32Z,0,0,0,Charge 6
2024-12-07T08:37:33Z,0,0,0,Charge 6
2024-12-07T08:37:34Z,0,0,0,Charge 6
2024-12-07T08:37:35Z,0,0,0,Charge 6
2024-12-07T08:37:36Z,0,0,0,Charge 6
2024-12-07T08:37:37Z,0,0,0,Charge 6
2024-12-07T08:37:38Z,0,0,0,Charge 6
2024-12-07T08:37:39Z,0,0,0,Charge 6
2024-12-07T08:37:40Z,0,0,0,Charge 6
2024-12-07T08:37:41Z,0,0,0,Charge 6
2024-12-07T08:37:42Z,0,0,0,Charge 6
2024-12-07T08:37:43Z,0,0,0,Charge 6
2024-12-07T08:37:44Z,0,0,0,Charge 6
2024-12-07T08:37:45Z,0,0,0,Charge 6
2024-12-07T08:37:46Z,0,0,0,Charge 6
2024-12-07T08:37:47Z,0,0,0,Charge 6
2024-12-07T08:37:48Z,0,0,0,Charge 6
2024-12-07T08:37:49Z,0,0,0,Charge 6
2024-12-07T08:37:50Z,0,0,0,Charge 6
2024-12-07T08:37:51Z,0,0,0,Charge 6
2024-12-07T08:37:52Z,0,0,0,Charge 6
2024-12-07T08:37:53Z,0,0,0,Charge 6
2024-12-07T08:37:54Z,0,0,0,Charge 6
2024-12-07T08:37:55Z,0,0,0,Charge 6
2024-12-07T08:37:56Z,0,0,0,Charge 6
2024-12-07T08:37:57Z,0,0,0,Charge 6
2024-12-07T08:37:58Z,0,0,0,Charge 6
2024-12-07T08:37:59Z,0,0,0,Charge 6
2024-12-07T08:38:00Z,0,0,0,Charge 6
2024-12-07T08:38:01Z,0,0,0,Charge 6
2024-12-07T08:38:02Z,0,0,0,Charge 6
2024-12-07T08:38:03Z,0,0,0,Charge 6
2024-12-07T08:38:04Z,0,0,0,Charge 6
2024-12-07T08:38:05Z,0,0,0,Charge 6
2024-12-07T08:38:06Z,0,0,0,Charge 6
2024-12-07T08:38:07Z,0,0,0,Charge 6
2024-12-07T08:38:08Z,0,0,0,Charge 6
2024-12-07T08:38:09Z,0,0,0,Charge 6
2024-12-07T08:38:10Z,0,0,0,Charge 6
2024-12-07T08:38:11Z,0,0,0,Charge 6
2024-12-07T08:38:12Z,0,0,0,Charge 6
2024-12-07T08:38:13Z,0,0,0,Charge 6
2024-12-07T08:38:14Z,0,0,0,Charge 6
2024-12-07T08:38:15Z,0,0,0,Charge 6
2024-12-07T08:38:16Z,0,0,0,Charge 6
2024-12-07T08:38:17Z,0,0,0,Charge 6
2024-12-07T08:38:18Z,0,0,0,Charge 6
2024-12-07T08:38:19Z,0,0,0,Charge 6
2024-12-07T08:38:20Z,0,0,0,Charge 6
2024-12-07T08:38:21Z,0,0,0,Charge 6
2024-12-07T08:38:22Z,2,0,0,Charge 6
2024-12-07T08:38:23Z,2,0,0,Charge 6
2024-12-07T08:38:24Z,0,0,0,Charge 6
2024-12-07T08:38:25Z,0,0,0,Charge 6
2024-12-07T08:38:26Z,0,0,0,Charge 6
2024-12-07T08:38:27Z,0,0,0,Charge 6
2024-12-07T08:38:28Z,0,0,0,Charge 6
